"TeamName","FG2Pct","FG3Pct","FTPct","BlockPct","OppFG2Pct","OppFG3Pct","OppFTPct","OppBlockPct","F3GRate","OppF3GRate","ARate","OppARate","StlRate","OppStlRate","DefensiveFingerprint","defeFG_Pct","defTO_Pct","defOR_Pct","defFT_Rate","eFG_Pct","TO_Pct","OR_Pct","FT_Rate","Tempo","AdjTempo","OE","AdjOE","DE","AdjDE","Pythag","Off_1","Off_2","Off_3","Def_1","Def_2","Def_3","Height","HgtC","HgtPF","HgtSF","HgtSG","HgtPG","HgtEff","Exp","Bench","PtsC","PtsPF","PtsSF","PtsSG","PtsPG","ORC","ORPF","ORSF","ORSG","ORPG","DRC","DRPF","DRSF","DRSG","DRPG","teamID","NumOfGames","WinPct","Margin_Victory","Margin_Loss","My_PPG","My_FGA","My_3FGP","My_FTA","My_FTP","My_Off_Reb","My_Def_Reb","My_Tot_Reb","My_Assists","My_TO","My_Ast_TO","My_Steals","My_Blocks","My_Fouls","My_Possessions","Opp_Pts","Opp_FGA","Opp_3FGP","Opp_FTA","Opp_FTP","Opp_Off_Reb","Opp_Def_Reb","Opp_Tot_Reb","Opp_Assists","Opp_TO","Opp_Ast_TO","Opp_Steals","Opp_Blocks","Opp_Fouls","Opp_Possessions","Margin_Victory_SD","Margin_Loss_SD","My_Pts_SD","My_FG___SD","My_3FG___SD","My_FTA_SD","My_FT___SD","My_Off_Reb_SD","My_Def_Reb_SD","My_Tot_Reb_SD","My_Assists_SD","My_TO_SD","My_Ast_TO_SD","My_Steals_SD","My_Blocks_SD","My_Fouls_SD","My_Possessions_SD","Opp_Pts_SD","Opp_FG___SD","Opp_3FG___SD","Opp_FTA_SD","Opp_FT___SD","Opp_Off_Reb_SD","Opp_Def_Reb_SD","Opp_Tot_Reb_SD","Opp_Assists_SD","Opp_TO_SD","Opp_Ast_TO_SD","Opp_Steals_SD","Opp_Blocks_SD","Opp_Fouls_SD","Opp_Possessions_SD","Tourney","TourneyType"
"Abilene Christian",42.0106,37.8026,72.7924,3.4519,55.2301,36.9658,68.7107,12.5926,36.2348,32.8652,55.3333,51.6405,0.0914,0.0903,9.9,55.302,20.7649,33.89423,44.66292,47.3347,19.7735,24.08377,28.2726,64.8415,63.6278,93.3295,92.9521,111.039,110.616,0.119122,17.8571,46.4871,35.6557,21.7197,52.4851,25.7952,73.93,-1.52,-1.28,-4.37,-3.24,-3.27,-2.8,1.8,32.36,19.37,15.58,27.27,17.29,20.49,37.6,26.49,18.79,9.61,7.52,27.49,21.64,18.45,17.95,14.47,1101,28,0.25,12.14285714,-18.52380952,61,0.407500577,0.381506673,14.96428571,0.736327741,6.571428571,17.03571429,23.60714286,11.85714286,12.78571429,1.008238472,5.928571429,1.178571429,20.60714286,66.25089286,71.85714286,0.49386433,0.372684005,22.71428571,0.693042723,9.107142857,25.71428571,34.82142857,12.92857143,13.39285714,1.025804022,5.857142857,4.25,16.46428571,65.93214286,4.220133151,10.58120526,16.15434811,0.110111111,0.120587411,6.534705881,0.130062323,2.544836041,5.978245394,6.935359136,3.768429142,3.510377661,0.561942594,2.275938088,1.389206313,4.314826169,5.338545553,10.86862384,0.088285506,0.148703613,7.754841464,0.101399567,3.947238,4.783127312,6.481046849,4.153789626,3.107211275,0.431083376,2.288688541,1.917270436,4.341719602,5.382292027,0,""
"Air Force",53.8983,35.4344,65.859,6.9597,51.5263,36.5891,68.9788,11.8644,39.8777,44.0574,63.0657,63.6778,0.1031,0.0946,-9.7,53.0055,20.2244,32.55034,35.45082,53.6005,19.154,29.5612,30.84239,60.9649,61.9159,105.7091,106.0743,107.1352,109.192,0.41748,15.9297,50.8258,33.2445,18.7435,44.1885,37.0681,77.17,0.32,-0.96,-0.07,0.48,2.78,-0.64,1.62,36.12,19.77,16.61,22.26,21.22,20.14,26.4,28.6,24.64,9.79,10.58,23.33,24.43,21.82,15.23,15.19,1102,29,0.413793103,13.66666667,-11.58823529,64.72413793,0.467117109,0.351048798,15.65517241,0.652551117,7.448275862,18.65517241,26.10344828,14.89655172,11.4137931,1.557379138,6.310344828,1.965517241,17.82758621,62.16034483,65.86206897,0.450337228,0.361441864,17.89655172,0.685996013,8.896551724,20.51724138,29.4137931,14.44827586,12.13793103,1.329185326,5.793103448,3.620689655,17.06896552,62.225,10.43885516,8.031646963,11.39829734,0.074114931,0.117824004,6.275097393,0.1640674,3.611353198,6.037240749,7.173088733,4.768533974,3.698621764,1.070578879,2.465525853,1.88002201,3.284911018,5.027018594,12.99649441,0.068726872,0.113572542,7.857411549,0.146707918,3.903705452,7.224070329,8.583694016,4.075941669,3.356487726,0.661395466,2.568758877,2.04264872,4.527148539,4.869704083,0,""
"Akron",46.7,34.9345,66,12.1212,43.7799,33.0325,67.8812,9.6,47.8079,30.6416,53.6213,48.4973,0.0966,0.1075,11.4,45.5476,18.8295,31.48148,40.98451,49.4259,18.7841,33.30612,31.31524,64.5997,63.7863,103.9374,102.7553,97.5513,96.9851,0.660297,17.2926,40.786,41.9214,23.3953,51.0698,25.5349,77.47,1.49,1.59,2.15,-0.18,-1.03,3.08,1.42,45.06,21.87,19.23,17.25,24.05,17.6,36.01,20.11,20.32,15.3,8.26,24.39,25.27,18.61,15.58,16.16,1103,34,0.588235294,11.9,-7,67.35294118,0.412919793,0.345784341,17.64705882,0.649344618,9.676470588,22.82352941,32.5,12.41176471,11.97058824,1.177140324,6.264705882,4.470588235,18.79411765,67.02941177,63.23529412,0.407922706,0.33279975,21.79411765,0.669545729,9.147058824,22.67647059,31.82352941,10.44117647,11.97058824,0.938286992,6.970588235,2.823529412,16.79411765,66.35220588,7.711235822,7.400623674,9.164762402,0.055134671,0.078102759,6.512842106,0.15817117,4.374309215,5.621768234,8.294759207,3.358549895,3.65550887,0.57879027,3.193827603,1.829643021,4.11780621,5.40093451,11.21432748,0.081228911,0.15941331,7.380479625,0.118671491,3.970591536,5.819093901,8.24058908,3.602954818,3.965650194,0.423460956,2.999851452,2.563976413,3.263938983,5.442604684,0,""
"Alabama",51.896,32.126,72.198,11.0672,47.2332,32.4459,71.0526,7.8007,40.7574,37.2598,46.9985,54.3834,0.0993,0.0794,2.7,47.7681,19.088,31.54876,40.0496,50.3851,19.088,30.04073,44.09499,62.8409,62.1486,104.9223,108.2925,101.6914,98.3121,0.752487,24.0077,46.3698,29.6225,22.95,47.8,29.25,77.4,0.58,0.83,1.14,1.49,-0.38,1.41,1.65,35.43,15.13,18.65,21.55,26.46,18.22,34.59,27.88,16.38,10.65,10.5,27.89,24,16,18.49,13.62,1104,31,0.548387097,10.35294118,-7.857142857,66.64516129,0.440628668,0.32027483,22.16129032,0.713116845,8.258064516,21.19354839,29.4516129,10.35483871,11.70967742,0.93651642,6.290322581,3.612903226,19.22580645,64.23629032,64.51612903,0.419111854,0.330265802,20.83870968,0.718762407,9.161290323,21.19354839,30.35483871,11.80645161,11.77419355,1.149690587,5.032258065,2.322580645,19.48387097,64.54354839,7.440943963,6.13761596,11.34180582,0.058620063,0.087039233,8.7219905,0.106096737,3.395759532,6.384456933,8.369941098,3.96272959,3.035276466,0.417277033,2.355044917,2.216264415,4.536589596,7.373230971,13.79823894,0.074999649,0.112246777,8.847209632,0.100931353,3.899545052,5.16668401,6.765344963,3.350814377,3.930306836,0.567504429,2.469600116,1.640875717,4.433741593,6.781893688,0,""
"Alabama A&M",45.4348,29.0614,64.7635,6.1281,50.6964,33.1828,62.2611,9.0217,37.5848,29.1447,58.2038,48.4848,0.0873,0.1078,9,50.4276,18.3503,36.43083,41.31579,44.7422,21.8877,35.22267,41.58752,64.3713,63.6917,94.7855,94.736,106.4526,112.3279,0.123601,23.1352,48.7179,28.1469,20.3222,56.7568,22.921,76.56,1.2,-0.35,-0.51,-0.54,-0.34,0.85,1.7,32.19,21.69,22.6,23.19,16.78,15.74,29.37,25.64,27.2,7.62,10.17,31.96,23.97,20.24,10.92,12.91,1105,28,0.285714286,9,-14,61.28571429,0.39333433,0.288964305,21.89285714,0.646251154,10.82142857,20.25,31.07142857,12.03571429,13.82142857,0.947736661,5.642857143,2.357142857,19.75,66.04196429,68.71428571,0.457630591,0.326447023,22.42857143,0.615111774,10.71428571,21.21428571,31.92857143,12,11.67857143,1.134234708,6.964285714,2.964285714,19.14285714,65.90357143,6.141195789,11.58492669,12.00573055,0.077469941,0.113779066,8.256711235,0.120402629,3.944556225,7.411827385,10.5547201,4.077782103,4.329516023,0.38572279,2.214669706,1.496026483,4.060879306,5.471183151,9.68334631,0.062316849,0.098608798,7.671151207,0.144438235,3.629683619,4.817846014,7.070693671,4.505141096,2.722384187,0.665634531,3.202801353,2.456769075,4.568120496,6.503235357,0,""
"Alabama Birmingham",46.9165,33.1502,73.9323,13.5368,47.0266,31.7957,68.3801,9.9922,29.8851,32.2016,59.7187,49.2443,0.0976,0.0931,6.9,47.2414,19.7821,33.05648,34.05836,47.7559,20.4115,33.97717,37.16475,65.4962,64.9507,101.1444,103.7819,99.5814,100.2609,0.59795,22.3409,53.4935,24.1656,19.7748,54.1441,26.0811,76.7,0,1.19,0.16,-0.26,-0.89,1.19,0.85,37.46,19.15,23.63,23.86,17.44,15.92,28.7,38.37,15.81,13.11,4.01,28.85,25.48,15.96,16.08,13.63,1412,33,0.545454546,9.555555556,-9.666666667,68.09090909,0.431403447,0.341951999,20.57575758,0.731656236,9.96969697,22.75757576,32.72727273,14.15151515,13.51515152,1.132358655,6.575757576,5.242424242,17.87878788,68.68257576,67.27272727,0.42288351,0.321360805,19.45454546,0.672959246,10.09090909,21.15151515,31.24242424,11.84848485,13.18181818,0.981397643,6.272727273,3.878787879,18.54545455,69.4530303,5.031924228,9.224708022,11.01238972,0.075111434,0.124762116,10.07171256,0.108331711,3.18673862,5.214345015,6.325902738,3.6752654,2.969861235,0.491611971,2.861711715,2.318813045,4.321151292,6.949394322,12.36242474,0.068437068,0.10775263,7.925792189,0.121032511,2.754129132,5.663044743,7.01796936,3.865886154,4.558334026,0.401558417,1.924719578,2.858731972,4.981785003,7.527635952,1,"champ"
"Alabama St.",46.4041,35.4023,65.4054,10.541,45.3358,33.6152,65.2727,6.7637,27.1366,30.6149,52.0115,50.3876,0.0874,0.105,10.2,46.8932,19.1853,29.16246,35.59871,48.2221,19.7182,35.99202,34.62258,69.2197,67.5382,101.6406,95.8167,96.0745,103.2812,0.296773,19.0152,56.7837,24.2012,19.8562,53.7611,26.3827,75.3,-0.27,-0.7,0.49,-3.31,-3.02,-0.97,2.42,32.85,20.74,18.74,17.35,19.09,24.08,26.25,28.64,25.97,10.12,9.02,21.26,25.33,28.46,10.18,14.77,1106,27,0.62962963,13.05882353,-12.1,70.7037037,0.43420337,0.357720255,20.55555556,0.656888598,11.18518519,25.03703704,36.22222222,13.40740741,13.55555556,1.101739754,6.074074074,4.185185185,18,71.50462963,66.96296296,0.418648048,0.334390868,20.37037037,0.640120951,9.037037037,20.74074074,29.77777778,12.03703704,13,1.067968051,7.296296296,2.925925926,18.33333333,70.86111111,9.503095471,8.748968193,10.46170605,0.06349672,0.12979614,6.891094216,0.106029025,3.883268222,5.515582691,7.870750787,4.465760847,4.200122098,0.628693688,2.840990157,2.602321996,4.624350266,6.131417506,14.14344502,0.078071356,0.160081501,7.899114596,0.0892487,2.209794308,5.295808158,6.103802934,5.019052021,4.411523372,0.626654065,2.728972966,2.147018074,3.892794132,5.583441924,0,""
"Albany",48.1096,36.0146,76.0938,5.5675,45.9315,36.4865,69.8152,10.397,34.081,41.625,47.3088,55.0595,0.092,0.0778,0.4,49.5938,20.283,25.49213,30.4375,50.1246,19.0122,32.48731,39.87539,61.2309,61.304,106.7968,104.0651,98.0842,101.6243,0.567814,23.2347,48.5687,28.1966,17.644,44.5252,37.8308,76.87,-0.36,-0.61,0.21,0.87,0.92,-0.96,1.65,27.54,10.91,20.87,22.35,22.76,23.1,33.81,27.37,20.23,12.91,5.67,22.07,23.71,20.24,17.26,16.72,1107,32,0.75,10.125,-9.25,65.5,0.444030253,0.358773402,20,0.728864855,8.28125,22.03125,30.3125,10.4375,11.53125,1.053832687,5.65625,1.625,16.5,62.90625,60.21875,0.4217582,0.366450479,15.1875,0.716367239,6.8125,16.78125,23.59375,11.5625,12.28125,0.993502017,4.78125,3.4375,18.875,62.6828125,6.654926256,6.840008354,9.235275988,0.063718459,0.12421329,7.220043785,0.153478031,3.123628731,4.253911862,5.921189397,4.023619779,3.454631067,0.755232769,2.193970844,1.211503997,3.951316645,4.198996616,8.830790616,0.071490905,0.117349788,5.899357538,0.14124679,3.864123654,7.31209504,10.36078019,3.004700618,3.215229636,0.338814726,2.28225094,2.638884173,3.452441866,4.938224988,1,"champ"
"Alcorn St.",43.2612,28.4047,65.6832,6.8354,50.8861,38.1818,67.3621,8.3195,29.9534,29.4643,39.1892,50.7576,0.0866,0.0768,7.6,52.7679,18.5594,35.86279,39.94048,43.0653,17.2302,30.22222,37.52914,67.7104,67.0938,93.3602,92.4602,109.6385,115.447,0.0722,22.2514,54.708,23.0405,20.3146,54.2022,25.4831,76.52,-0.8,-0.53,0.02,0.36,0.24,-1.34,1.48,36.77,17.72,18.42,26.23,24.25,13.37,24.5,23.52,25.86,14.52,11.61,28.02,28.45,15.65,13.83,14.05,1108,30,0.166666667,11.2,-15.2,63.36666667,0.388336791,0.267812488,21.46666667,0.655811482,9.666666667,18.63333333,28.3,8.7,11.26666667,0.884192482,5.866666667,2.7,18.03333333,68.99666667,74.16666667,0.472439172,0.381217392,22.36666667,0.670623815,10.43333333,25.1,35.53333333,13.4,12,1.256352199,5.2,3.333333333,17.46666667,68.1575,7.155417528,10.82050523,11.85394837,0.076368708,0.131266741,7.394001918,0.094541774,2.868777624,5.333584764,6.103419053,3.524789062,3.628748557,0.524556999,2.501493807,1.512020799,3.326832742,6.360657407,11.30176469,0.070548545,0.114741022,6.46200211,0.097115243,2.686920213,4.929503018,6.393603125,6.190092195,3.832708595,0.890264526,1.989628279,2.940013293,4.166643678,6.061943718,0,""
"American",51.7621,37.303,70.5305,8.0229,50.9074,34.2574,67.8363,10.022,38.6072,32.5387,59.7365,51.1331,0.1026,0.0874,9.5,51.0631,21.7718,31.47752,33.05412,53.3807,19.3644,21.34703,34.41515,57.0617,57.5847,101.2326,101.2314,101.2037,103.3161,0.441661,18.5243,48.5036,32.9721,18.0031,55.1474,26.8495,75.82,-0.77,-1.73,0.32,1.03,-3.06,-2.49,2.07,17.24,17.8,22.98,22.98,18.01,18.23,21.94,18,18,23.44,18.62,22.01,22.56,22.56,19.49,13.38,1110,33,0.515151515,8.058823529,-8.25,58.72727273,0.464059081,0.373551783,15.42424242,0.701844045,4.606060606,17.27272727,21.87878788,12.36363636,10.63636364,1.32016153,5.939393939,2.545454546,14.60606061,58.175,58.57575758,0.458962286,0.344439164,15.54545455,0.671200817,7.666666667,22,29.66666667,10.93939394,12.27272727,1.004834761,5.060606061,2.757575758,17.03030303,59.02045455,7.119257232,5.33541626,11.33102138,0.078407738,0.115812463,7.250130615,0.111832875,2.423058423,4.685567784,6.112270322,3.257857634,3.160480401,0.678450892,2.370909556,1.501892745,3.587647157,5.593027188,10.13357755,0.084823752,0.118232718,5.969144145,0.142319209,3.637192141,5.618051264,8.346656017,3.622321372,4.087119457,0.522877387,2.16418856,1.871334802,4.398045365,5.245557847,0,""
